#OTU ID,0d-a,H-a,H-b,H-c,M-a,M-b,M-c,open-a,open-b,open-c,0d-b,0d-c
p__AC1,2.53E-05,0,0,0,0,0,0,0,0,0,7.58E-05,2.53E-05
p__Acidobacteria,0.020252014,0,7.58E-05,0.000126259,0,0,7.58E-05,0,5.05E-05,0,0.022852958,0.024999369
p__Actinobacteria,0.013535012,0.033559759,0.038913159,0.050655286,0.059872225,0.040630287,0.026186207,0.013711775,0.082068635,0.055983435,0.016767253,0.01618646
p__Aminicenantes,0.001565617,0,0,0,0,0,0,0,2.53E-05,0,0.002651448,0.002701952
p__Armatimonadetes,7.58E-05,0,0,0,0,0,0,0,0,0,0.000126259,0.000151511
p__BRC1,0.000176763,0,0,0,0,0,0,0,0,0,2.53E-05,7.58E-05
p__Bacteroidetes,0.031994142,0.000555542,0.000984824,0.001439358,0.007525062,0.000479786,0.000732305,0.005782682,0.00348476,0.000757557,0.027398298,0.030807303
p__CPR2,5.05E-05,0,0,0,0,0,0,2.53E-05,0,0,0.000202015,0.000151511
p__Candidatus_Berkelbacteria,0.000101008,2.53E-05,0,0,0,0,2.53E-05,0,0,0,7.58E-05,7.58E-05
p__Chlamydiae,0.001060579,0,2.53E-05,7.58E-05,0,0,2.53E-05,0,0,0,0.001111083,0.00133835
p__Chlorobi,0.009141183,0,0.000151511,0.000202015,2.53E-05,5.05E-05,0.000176763,0.000101008,5.05E-05,0.000126259,0.008383627,0.008610894
p__Chloroflexi,0.053988536,0.000101008,0.000833312,0.001085831,0,2.53E-05,0.001035327,0.000378778,0.00093432,0.000353526,0.06194288,0.06689225
p__Cloacimonetes,0.000656549,0,0,0,0,0,2.53E-05,7.58E-05,0,0,0.000757557,0.00053029
p__Cyanobacteria,0.029721472,0.000277771,0.00133835,0.001489861,0.000151511,5.05E-05,0.00053029,0.000454534,0.001237342,0.000126259,0.031463852,0.038685892
p__Deferribacteres,0.000277771,0,0,2.53E-05,0,0,0,0,0,0,0.000555542,0.000580793
p__Deinococcus-Thermus,0.002626196,0,2.53E-05,0,0,0,0,0,2.53E-05,0,0.003585768,0.001262594
p__Elusimicrobia,0.000328275,0,0,0,0,0,0,0,0,0,0.000353526,0.000328275
p__FCPU426,0,0,0,0,0,0,0,0,0,0,2.53E-05,5.05E-05
p__Fibrobacteres,0.000580793,0,0,2.53E-05,2.53E-05,0,0,0,0,2.53E-05,0.000580793,0.000555542
p__Firmicutes,0.287164466,0.015454155,0.041236332,0.047776571,0.054594581,0.015504659,0.036968763,0.066462968,0.069669958,0.046918007,0.266281155,0.258251054
p__Fusobacteria,0.006843262,0,7.58E-05,5.05E-05,0,0,0,0,0.000202015,0,0.006514987,0.00896442
p__Gemmatimonadetes,0.000757557,0,0,0,0,0,0,0,0,2.53E-05,0.000555542,0.000909068
p__Gracilibacteria,5.05E-05,0,0,0,0,0,0,0,0,0,5.05E-05,0.000101008
p__Hydrogenedentes,5.05E-05,0,0,0,0,0,0,0,0,0,2.53E-05,0.000151511
p__Ignavibacteriae,0.006262468,2.53E-05,0,7.58E-05,0,5.05E-05,7.58E-05,7.58E-05,0,2.53E-05,0.007474559,0.006338224
p__KSB3__Modulibacteria_,0.000176763,0,0,0,0,0,0,0,0,0,2.53E-05,2.53E-05
p__Latescibacteria,0.000631297,0,2.53E-05,0,0,0,0,2.53E-05,0,0,0.000681801,0.000909068
p__Lentisphaerae,0.000707053,0,0,0,0,0,2.53E-05,0,0,0,0.00133835,0.001010076
p__Microgenomates,0.000202015,0,0,0,0,0,2.53E-05,0,0,0,0.000151511,0.000277771
p__Nitrospinae,0.003282745,0,0,2.53E-05,0,0,0,0,0,0,0.00320699,0.004343325
p__Nitrospirae,0.022423676,5.05E-05,0.000277771,0.00040403,0,0,7.58E-05,0.000176763,7.58E-05,0.000126259,0.024418575,0.024721598
p__Omnitrophica,0.000782809,2.53E-05,0,0,0,0,2.53E-05,5.05E-05,0,0,0.001212091,0.00080806
p__PAUC34f,5.05E-05,0,0,0,0,0,0,0,0,0,0,0
p__Parcubacteria,0.000353526,0,0,0,2.53E-05,2.53E-05,2.53E-05,0,2.53E-05,0,0.000303023,0.000378778
p__Peregrinibacteria,0.000303023,0,0,0,0,0,0,0,0,0,0.000353526,0.000353526
p__Planctomycetes,0.003333249,0,0,0,0,0,2.53E-05,2.53E-05,2.53E-05,2.53E-05,0.002701952,0.004065554
p__Poribacteria,0,0,0,0,0,0,0,0,0,0,0,5.05E-05
p__Proteobacteria,0.475114265,0.94969824,0.915103154,0.89538143,0.87773036,0.94300649,0.932855231,0.911340623,0.837377844,0.894926896,0.477891972,0.460897452
p__RBG-1__Zixibacteria_,2.53E-05,0,0,0,0,0,0,0,0,0,0.000252519,7.58E-05
p__SR1__Absconditabacteria_,0.000681801,0,0,0,0,0,0,0,0,0,0.000580793,0.001060579
p__Saccharibacteria,0.000151511,0,0,0,0,0,2.53E-05,0,2.53E-05,2.53E-05,0.000202015,0.000277771
p__Spirochaetae,0.003712027,2.53E-05,5.05E-05,5.05E-05,0,0,2.53E-05,0,0,0,0.00348476,0.003863539
p__TM6__Dependentiae_,0.001212091,5.05E-05,2.53E-05,2.53E-05,2.53E-05,0,0,0,0,0,0.001186839,0.001085831
