site,phylum,pct
tara_004_dcm_0_22_1_6,Actinobacteria,0.04569
tara_004_dcm_0_22_1_6,Bacteroidetes,0.08352
tara_004_dcm_0_22_1_6,Cyanobacteria,0.08954
tara_004_dcm_0_22_1_6,Deferribacteres,0.05881
tara_004_dcm_0_22_1_6,Euryarchaeota,0.03353
tara_004_dcm_0_22_1_6,other,0.02452
tara_004_dcm_0_22_1_6,Proteobacteria,0.62295
tara_004_dcm_0_22_1_6,undef,0.04144
tara_004_srf_0_22_1_6,Actinobacteria,0.02309
tara_004_srf_0_22_1_6,Bacteroidetes,0.06415
tara_004_srf_0_22_1_6,Cyanobacteria,0.1216
tara_004_srf_0_22_1_6,Deferribacteres,0.01351
tara_004_srf_0_22_1_6,Euryarchaeota,0.01139
tara_004_srf_0_22_1_6,other,0.00403
tara_004_srf_0_22_1_6,Proteobacteria,0.72025
tara_004_srf_0_22_1_6,undef,0.02993
tara_004_srf_0_22_1_6,Verrucomicrobia,0.01205
tara_007_dcm_0_22_1_6,Actinobacteria,0.04273
tara_007_dcm_0_22_1_6,Bacteroidetes,0.06068
tara_007_dcm_0_22_1_6,Cyanobacteria,0.09227
tara_007_dcm_0_22_1_6,Deferribacteres,0.02397
tara_007_dcm_0_22_1_6,Euryarchaeota,0.02513
tara_007_dcm_0_22_1_6,other,0.02228
tara_007_dcm_0_22_1_6,Proteobacteria,0.70057
tara_007_dcm_0_22_1_6,undef,0.03235
tara_007_srf_0_22_1_6,Actinobacteria,0.03421
tara_007_srf_0_22_1_6,Bacteroidetes,0.08307
tara_007_srf_0_22_1_6,Cyanobacteria,0.04535
tara_007_srf_0_22_1_6,Deferribacteres,0.02609
tara_007_srf_0_22_1_6,other,0.020139999999999998
tara_007_srf_0_22_1_6,Proteobacteria,0.75263
tara_007_srf_0_22_1_6,undef,0.0385
tara_009_dcm_0_22_1_6,Actinobacteria,0.05928
tara_009_dcm_0_22_1_6,Bacteroidetes,0.06609
tara_009_dcm_0_22_1_6,Cyanobacteria,0.05045
tara_009_dcm_0_22_1_6,Deferribacteres,0.05473
tara_009_dcm_0_22_1_6,Euryarchaeota,0.04807
tara_009_dcm_0_22_1_6,other,0.02545
tara_009_dcm_0_22_1_6,Proteobacteria,0.6312
tara_009_dcm_0_22_1_6,Thaumarchaeota,0.02305
tara_009_dcm_0_22_1_6,undef,0.04167
tara_009_srf_0_22_1_6,Actinobacteria,0.02172
tara_009_srf_0_22_1_6,Bacteroidetes,0.1106
tara_009_srf_0_22_1_6,Cyanobacteria,0.08564
tara_009_srf_0_22_1_6,Deferribacteres,0.01928
tara_009_srf_0_22_1_6,other,0.00715
tara_009_srf_0_22_1_6,Proteobacteria,0.70962
